date,batch,shot-id,subject,model,recipe-version,lessons-applied,credits,verdict,first-roll,file
2026-06-28,truck-logo-sketch,C3,truck patch (no text),nano_banana_2,T1-v1,none,2,keep,yes,generated-masters/truck-logo-sketch/C3.png
2026-06-28,truck-logo-wren-wordmark,L2,full lockup (truck+wren+wordmark),nano_banana_2,T1-v1,C2-bg-bleed,2,keep,yes,public/brand/wrens-logo-transparent.webp
